sitio,lat,lon
Praga,50.075538 , 14.4378
Dresden,51.050409 , 13.737262,
Wrocław,51.107885 , 17.038538
Częstochowa,50.811819 , 19.120309
Cracovia,50.064650 , 19.94498
Zakopane,49.299181 , 19.949562
Levoča,49.026019 , 20.588875
Eger,47.902535 , 20.377228
Budapest,47.497912 , 19.040235
Pécs,46.072735 , 18.232266
Bratislava,48.145892 , 17.107137
Viena,48.208174 , 16.373819
Plzen,49.738425 , 13.37362,
