sitio,lat,lon
Palermo,38.115688,13.361267
Cefalu,38.033247,14.017393
Messina,38.193814,15.554015
Taormina,37.851637,15.285313
Siracusa,37.075474,15.286586
Agrigento,37.311090,13.576548
Trapani,37.916081,12.552751
Erice,38.038089,12.587351
San Vito lo Capo,38.175030,12.733462
Palermo,38.115688,13.361267
