sitio,lat,lon
Moscú,55.751242,37.618422
Kazán,55.794941,49.105044
Ekaterinburgo,56.837524,60.603272
Omsk,54.988742,73.369265
Tomsk,56.469111,84.967192
Krasnoyarsk,56.010789,92.852775
Irkutsk,52.277141,104.304164
Khuzir,53.193087,107.33242
Irkutsk,52.277141,104.304164
Ulán Udé,51.836725,107.585865
Ulán Bator,47.921378, 106.90554
Pekín,39.904030, 116.407526
