sitio,lat,lon
Milán,45.465454,9.186516
Como,45.808042,9.085179
Bergamo,45.698264,9.677270
Sirmione,45.496972,10.605375
Verona,45.438356,10.991658
Treviso,45.666901,12.243039
Venecia,45.440847,12.315515
Ferrara,44.838124,11.619787
Bolonia,44.494887,11.342616
Milán,45.465454,9.186516
